emp_no,first_name,last_name,title,birth_date,from_date,to_date
13116,Constantino,Sury,Senior Staff,1963-01-29,1987-10-25,9999-01-01
13154,Shan,Soicher,Senior Staff,1963-06-19,1988-07-29,9999-01-01
13163,Matt,Heping,Engineer,1963-12-11,1987-03-31,9999-01-01
13190,Stepehn,Kowalchuk,Senior Staff,1962-11-08,1986-07-17,9999-01-01
13195,Toshiki,Baak,Engineer,1964-06-29,1986-03-02,9999-01-01
13219,Wojceich,Constantine,Technique Leader,1964-11-10,1988-06-22,9999-01-01
13257,Francoise,Poehlman,Senior Staff,1963-06-13,1986-07-12,9999-01-01
13280,Gunilla,Cappelletti,Senior Staff,1963-05-31,1985-03-30,9999-01-01
13289,Berni,Baer,Senior Staff,1962-08-12,1987-09-24,9999-01-01
13338,Tonny,Gecsel,Engineer,1963-08-19,1985-08-16,9999-01-01
13367,Xumin,Swiler,Senior Staff,1962-07-14,1987-08-30,9999-01-01
13397,Nimmagadda,Wilfing,Senior Staff,1964-05-13,1987-06-25,9999-01-01
13459,Eric,Lupu,Senior Staff,1962-04-29,1988-05-20,9999-01-01
13487,Geoffrey,Claffy,Senior Staff,1962-08-30,1987-03-08,9999-01-01
13494,Domenico,Baca,Engineer,1964-04-07,1985-10-07,9999-01-01
13555,Lijia,Matteis,Senior Staff,1964-08-20,1988-11-07,9999-01-01
13558,Raimond,Molberg,Senior Staff,1964-10-13,1987-06-10,9999-01-01
13561,Fai,Thebaut,Senior Engineer,1962-04-30,1985-07-05,9999-01-01
13563,Valter,Pashtan,Engineer,1963-03-11,1987-04-17,9999-01-01
13570,Kiyomitsu,Perez,Senior Staff,1963-06-05,1986-03-15,9999-01-01
13572,Honglan,Beutelspacher,Senior Staff,1964-03-13,1986-09-15,9999-01-01
13579,Basem,Passino,Assistant Engineer,1963-10-13,1987-03-12,9999-01-01
13590,Sashi,Showalter,Engineer,1963-02-04,1986-03-14,9999-01-01
13615,Sugwoo,Marrevee,Senior Staff,1962-07-12,1986-07-14,9999-01-01
13712,Olivera,Docker,Senior Staff,1963-04-08,1987-12-06,9999-01-01
13718,Lein,Gronowski,Senior Staff,1963-03-15,1986-11-22,9999-01-01
13728,Insup,Swab,Engineer,1964-05-23,1986-01-03,9999-01-01
13729,Shahab,Farrel,Engineer,1964-07-30,1988-10-12,9999-01-01
13757,Soenke,Demir,Engineer,1963-07-13,1986-02-22,9999-01-01
13808,Becky,Stentiford,Senior Staff,1963-03-17,1986-03-08,9999-01-01
13860,Wojceich,Papastamatiou,Senior Staff,1964-09-18,1988-07-27,9999-01-01
13890,Marin,Antonisse,Senior Staff,1963-05-01,1985-11-30,9999-01-01
13908,Nechama,Koprowski,Senior Engineer,1964-12-21,1987-11-26,9999-01-01
13912,Niclas,Blokdijk,Assistant Engineer,1963-02-20,1988-12-07,9999-01-01
13961,Munir,Hempstead,Senior Engineer,1964-06-22,1988-10-01,9999-01-01
14036,Bogdan,Schaad,Senior Staff,1962-03-20,1987-10-07,9999-01-01
14044,Muneo,Peltason,Senior Engineer,1963-05-09,1988-04-04,9999-01-01
14057,Boriana,Beidas,Engineer,1962-05-16,1985-03-24,9999-01-01
14073,Fumino,Rajcani,Senior Staff,1962-11-09,1985-07-29,9999-01-01
14095,Tonia,Underwood,Senior Staff,1964-08-04,1988-12-03,9999-01-01
14115,Francesca,Mayerwieser,Senior Staff,1963-07-31,1987-10-28,9999-01-01
14120,Horward,Rabejac,Engineer,1963-06-18,1985-08-11,9999-01-01
14138,Zhigen,Peternell,Engineer,1963-10-19,1987-09-17,9999-01-01
14185,Garnik,Swiler,Senior Staff,1964-11-06,1988-08-01,9999-01-01
14222,Shaleah,Luders,Senior Staff,1963-03-10,1988-05-24,9999-01-01
14334,Pradeep,Waleschkowski,Engineer,1964-12-15,1988-07-06,9999-01-01
14338,Behnaam,Pelz,Engineer,1963-09-23,1985-11-29,9999-01-01
14356,Remko,Zeidenstein,Senior Engineer,1964-04-15,1985-06-04,9999-01-01
14362,Michaela,Kleiser,Senior Staff,1963-10-28,1986-09-30,9999-01-01
14374,Berthier,Tomescu,Engineer,1962-12-28,1986-03-20,9999-01-01
14391,Haldon,Pesch,Senior Staff,1963-01-08,1988-08-18,9999-01-01
14402,Mooi,Peac,Technique Leader,1963-10-02,1988-11-03,9999-01-01
14409,Uta,Pettis,Senior Staff,1963-05-08,1988-12-27,9999-01-01
14419,Ennio,Katiyar,Assistant Engineer,1962-10-01,1987-02-16,9999-01-01
14443,Kinh,Barriga,Senior Staff,1962-01-03,1985-10-28,9999-01-01
14449,Isaac,Muntz,Engineer,1963-09-21,1988-08-11,9999-01-01
14487,Jungsoon,Molenkamp,Senior Staff,1963-08-20,1987-02-09,9999-01-01
14531,Armond,Ruther,Engineer,1963-04-21,1985-06-02,9999-01-01
14671,Elliott,Perri,Engineer,1964-02-23,1987-08-05,9999-01-01
14709,Gennady,Gente,Engineer,1963-11-16,1987-06-25,9999-01-01
14762,Kayoko,Bolotov,Senior Staff,1962-12-19,1986-08-15,9999-01-01
14783,Gennadi,Fasbender,Senior Staff,1964-07-26,1987-08-26,9999-01-01
14786,Duke,Hainaut,Senior Staff,1962-02-17,1988-06-03,9999-01-01
14813,Naftali,Alpin,Senior Staff,1964-08-16,1985-10-21,9999-01-01
14849,Aluzio,Ashish,Senior Staff,1963-04-03,1986-04-16,9999-01-01
14891,Lalit,Smeets,Senior Staff,1963-08-11,1988-06-27,9999-01-01
14893,Jacqueline,Bael,Engineer,1964-04-18,1988-05-23,9999-01-01
14907,Nakhoon,Luga,Senior Staff,1965-01-14,1986-12-18,9999-01-01
14929,Mads,Hanratty,Senior Staff,1963-08-19,1988-09-17,9999-01-01
14932,JiYoung,Meszaros,Senior Engineer,1963-03-17,1987-07-24,9999-01-01
14938,King,Mitina,Senior Staff,1964-01-03,1986-04-30,9999-01-01
14953,Chinya,Wallrath,Engineer,1964-02-17,1986-08-25,9999-01-01
14969,Hongzue,Himler,Senior Staff,1964-01-23,1986-01-03,9999-01-01
14984,Sangeeta,Parhami,Assistant Engineer,1963-02-17,1986-11-20,9999-01-01
14996,Jianhao,Schahn,Engineer,1962-12-14,1985-02-12,9999-01-01
15001,Brewster,Kawashimo,Engineer,1964-06-19,1985-02-02,9999-01-01
15017,Xiaobin,Thorelli,Senior Engineer,1963-03-22,1987-07-31,9999-01-01
15026,Geoffrey,Manderick,Senior Engineer,1963-12-12,1985-03-24,9999-01-01
15046,Marin,Prochazka,Senior Staff,1963-09-22,1987-03-07,9999-01-01
15061,Kwangyoen,Hofmeyr,Engineer,1963-05-07,1988-06-27,9999-01-01
15067,Nidapan,Uhrig,Senior Staff,1962-08-02,1988-05-04,9999-01-01
15189,Pascal,Strandh,Engineer,1964-11-09,1988-06-11,9999-01-01
15211,Abdelaziz,Waterhouse,Assistant Engineer,1962-01-27,1987-11-06,9999-01-01
15244,Gina,Bail,Engineer,1963-10-11,1985-08-22,9999-01-01
15257,Ishfaq,Schauser,Senior Staff,1964-07-03,1987-09-16,9999-01-01
15291,Giao,Teitelbaum,Engineer,1963-06-29,1988-07-05,9999-01-01
15322,Munehiko,Sidou,Engineer,1963-12-27,1985-02-04,9999-01-01
15355,Hisao,Yurov,Senior Engineer,1964-09-16,1987-10-09,9999-01-01
15371,Shih,Kuszyk,Senior Staff,1963-11-16,1988-11-05,9999-01-01
15418,Gianluca,Neimat,Senior Staff,1963-08-10,1985-10-25,9999-01-01
15432,Adib,Simmen,Senior Staff,1963-01-13,1986-04-16,9999-01-01
15485,Sadun,Comellas,Senior Engineer,1964-07-16,1988-11-07,9999-01-01
15495,Sven,Rotem,Senior Staff,1964-06-04,1988-05-25,9999-01-01
15540,Steen,Mullainathan,Engineer,1963-05-31,1988-12-01,9999-01-01
15542,Mariangiola,Hardjono,Senior Engineer,1964-03-01,1988-04-26,9999-01-01
15547,Leandro,Murillo,Engineer,1964-03-05,1987-02-03,9999-01-01
15574,Evgueni,Kalloufi,Senior Staff,1964-04-24,1988-12-19,9999-01-01
15597,JoAnne,Farris,Senior Staff,1962-12-16,1985-11-09,9999-01-01
15599,Filipe,Piancastelli,Senior Staff,1964-11-23,1987-02-16,9999-01-01
15620,Alejandro,Randi,Senior Staff,1964-04-10,1987-02-14,9999-01-01
15721,Perla,Denis,Engineer,1962-05-27,1987-04-28,9999-01-01
15722,Tesuro,Giaccio,Engineer,1963-02-24,1987-12-17,9999-01-01
15725,Shuichi,Petersohn,Senior Staff,1964-07-04,1987-11-04,9999-01-01
15741,Baruch,Neiman,Technique Leader,1963-12-27,1987-06-26,9999-01-01
15749,Unal,Pargas,Senior Engineer,1963-04-18,1987-03-22,9999-01-01
15784,Gen,Bernatsky,Senior Staff,1963-12-02,1987-10-31,9999-01-01
15794,Serge,Fairtlough,Engineer,1963-12-14,1987-02-28,9999-01-01
15802,Adhemar,Haumacher,Senior Staff,1962-11-30,1985-04-08,9999-01-01
15834,Changho,Simkin,Senior Staff,1963-06-14,1986-06-14,9999-01-01
15852,Nathalie,Bonifati,Senior Engineer,1964-10-22,1988-06-01,9999-01-01
15881,Ortrun,Luby,Engineer,1964-05-11,1986-09-27,9999-01-01
15883,Jixiang,Rosin,Engineer,1962-05-27,1985-04-02,9999-01-01
15888,Salvador,Zumaque,Senior Staff,1964-04-14,1987-08-07,9999-01-01
15913,Shigeaki,Mattern,Senior Engineer,1963-02-09,1986-04-21,9999-01-01
16007,Premsyl,Dalton,Engineer,1964-05-30,1988-04-15,9999-01-01
16055,Akeel,Heyers,Engineer,1963-04-26,1987-08-09,9999-01-01
16062,Jaques,Peak,Senior Staff,1963-02-26,1986-01-25,9999-01-01
16064,Lucian,Murtha,Technique Leader,1963-08-16,1988-01-21,9999-01-01
16065,Kaijung,Karunanithi,Senior Staff,1962-07-05,1987-08-28,9999-01-01
16091,Yucai,Belinskaya,Engineer,1964-09-28,1987-01-10,9999-01-01
16098,Stella,Fortenbacher,Engineer,1964-12-11,1985-09-30,9999-01-01
16100,Mantis,Petereit,Senior Staff,1962-04-20,1986-03-31,9999-01-01
16107,Feiyu,Luit,Senior Staff,1963-12-23,1985-03-30,9999-01-01
16115,Haldun,Silva,Senior Staff,1964-11-30,1985-11-14,9999-01-01
16168,JoAnna,Ashish,Assistant Engineer,1964-02-05,1986-10-15,9999-01-01
16182,Mantis,Alpay,Technique Leader,1963-09-10,1987-06-28,9999-01-01
16190,Constantine,Fandrianto,Technique Leader,1963-04-23,1986-08-13,9999-01-01
16248,Tadahiro,Masada,Engineer,1963-10-21,1988-12-16,9999-01-01
16275,Maja,Ruemmler,Engineer,1964-06-08,1987-11-25,9999-01-01
16353,Shawna,Denis,Engineer,1962-08-07,1987-09-29,9999-01-01
16356,Sibyl,Woycyznski,Senior Staff,1964-06-25,1988-12-05,9999-01-01
16357,Arve,Perl,Engineer,1963-03-15,1988-09-11,9999-01-01
16371,Duri,Danlos,Senior Staff,1964-03-25,1987-05-12,9999-01-01
16374,Holgard,Nergos,Engineer,1963-05-23,1987-05-21,9999-01-01
16391,Hidekazu,Syrzycki,Engineer,1963-10-31,1986-07-21,9999-01-01
16394,Chinho,Gluchowski,Senior Staff,1964-01-16,1986-02-03,9999-01-01
16461,Remmert,Schahn,Senior Staff,1965-01-14,1986-09-06,9999-01-01
16476,Mitsuyuki,Huttel,Technique Leader,1964-02-15,1988-04-22,9999-01-01
16489,Junsik,Broder,Engineer,1962-11-30,1987-06-30,9999-01-01
16513,Toney,Auria,Senior Staff,1964-10-15,1987-03-03,9999-01-01
16519,Jeane,Denny,Engineer,1963-10-10,1987-05-26,9999-01-01
16553,Jianhao,Halevi,Senior Staff,1962-03-07,1988-06-22,9999-01-01
16618,Sadun,Hebert,Senior Staff,1963-03-30,1987-05-17,9999-01-01
16620,Arco,Basagni,Senior Staff,1962-05-06,1987-07-22,9999-01-01
16707,Dulce,Naudin,Technique Leader,1963-12-15,1985-12-25,9999-01-01
16727,Saniya,Codenie,Engineer,1963-11-05,1987-09-24,9999-01-01
16758,Zongyan,Vilarrasa,Engineer,1962-11-04,1987-10-25,9999-01-01
16781,Emdad,Cangellaris,Assistant Engineer,1963-04-12,1985-10-15,9999-01-01
16804,Alain,Wossner,Senior Engineer,1962-07-17,1986-03-25,9999-01-01
16810,Honesty,Verspoor,Assistant Engineer,1963-07-14,1987-08-15,9999-01-01
16825,Ziyad,Perri,Engineer,1962-01-26,1986-12-05,9999-01-01
16826,Morris,Rosis,Senior Staff,1962-01-30,1986-05-17,9999-01-01
16861,Moon,Akaboshi,Assistant Engineer,1963-04-19,1985-12-14,9999-01-01
16865,Gou,Rosin,Senior Staff,1964-06-12,1986-01-08,9999-01-01
16887,Bernardo,Sinitsyn,Engineer,1962-11-16,1985-02-06,9999-01-01
16945,Ramzi,McConalogue,Engineer,1963-10-25,1986-02-14,9999-01-01
16963,Monique,Lalonde,Senior Engineer,1964-11-07,1988-07-06,9999-01-01
16991,Oksana,Birke,Senior Staff,1963-11-26,1986-02-24,9999-01-01
17026,Sham,Hockney,Senior Staff,1964-11-21,1986-05-29,9999-01-01
17029,Nobuyoshi,Bardell,Senior Engineer,1962-01-08,1986-08-17,9999-01-01
17061,Zhigen,Gomatam,Senior Staff,1962-05-02,1987-11-30,9999-01-01
17121,Thanasis,Lorys,Engineer,1964-02-17,1988-01-18,9999-01-01
17139,Stein,Cesareni,Engineer,1963-01-18,1987-11-23,9999-01-01
17164,Pranjal,Birta,Engineer,1964-05-30,1988-12-17,9999-01-01
17177,Garnet,Highland,Engineer,1964-01-30,1987-10-08,9999-01-01
17188,Boguslaw,Cardazo,Engineer,1962-06-08,1988-09-19,9999-01-01
17209,Przemyslawa,Merle,Engineer,1963-04-23,1988-07-05,9999-01-01
17238,Achilleas,Schach,Senior Staff,1964-08-12,1985-07-07,9999-01-01
17273,Aiichiro,Verhaegen,Senior Engineer,1964-03-05,1985-07-06,9999-01-01
17332,Valery,Grospietsch,Senior Staff,1964-01-09,1985-03-02,9999-01-01
17376,Moheb,Fadgyas,Senior Engineer,1964-10-13,1988-01-12,9999-01-01
17377,Kien,Ambroszkiewicz,Senior Staff,1962-01-01,1986-04-10,9999-01-01
17389,Taiji,Kemmerer,Assistant Engineer,1962-11-23,1985-02-02,9999-01-01
17420,Jinpo,Stamatiou,Senior Staff,1964-05-22,1988-10-13,9999-01-01
17421,Adel,Birjandi,Senior Staff,1963-12-16,1985-02-12,9999-01-01
17433,Flemming,Wegerle,Technique Leader,1964-05-21,1985-09-29,9999-01-01
17459,Xuejun,Delgrange,Senior Staff,1962-05-19,1988-04-24,9999-01-01
17461,Karoline,Lampe,Technique Leader,1962-11-18,1985-04-12,9999-01-01
17475,Mingdong,Callaway,Senior Engineer,1964-04-29,1987-02-28,9999-01-01
17504,Nidapan,Comyn,Engineer,1963-01-08,1986-02-27,9999-01-01
17530,Martina,Granlund,Engineer,1964-10-11,1986-11-04,9999-01-01
17535,Eishiro,Rouquie,Assistant Engineer,1964-05-09,1985-09-28,9999-01-01
17537,Jaewoo,Rosay,Engineer,1964-08-02,1988-02-26,9999-01-01
17572,Bingning,Alpay,Engineer,1964-07-18,1988-10-04,9999-01-01
17575,Gor,Duclos,Engineer,1964-03-04,1988-11-11,9999-01-01
17581,Marl,Kushner,Senior Staff,1963-10-23,1988-06-19,9999-01-01
17591,Qingxiang,Brickell,Engineer,1962-02-22,1986-03-04,9999-01-01
17592,Franziska,Bonifati,Senior Staff,1962-02-08,1987-05-30,9999-01-01
17641,Jaber,Parhami,Senior Staff,1964-12-13,1987-05-17,9999-01-01
17724,Zhiguo,Luks,Engineer,1964-04-29,1986-04-18,9999-01-01
17758,Nikolaos,Ranka,Technique Leader,1963-02-27,1987-07-20,9999-01-01
17846,Falguni,Schieder,Technique Leader,1963-05-13,1987-10-02,9999-01-01
17870,Zhenbing,Viele,Engineer,1962-07-10,1985-06-24,9999-01-01
17905,Wuxu,Vilarrasa,Senior Engineer,1964-12-19,1985-02-11,9999-01-01
17944,Munenori,Delaune,Assistant Engineer,1962-05-13,1988-10-11,9999-01-01
17953,Sugwoo,Vesna,Senior Staff,1963-10-21,1985-09-07,9999-01-01
17954,Zhigen,Spelt,Senior Staff,1964-05-06,1985-05-05,9999-01-01
17978,Yinghua,Riefers,Senior Staff,1962-04-19,1987-10-28,9999-01-01
18002,Munehiko,Kisuki,Senior Engineer,1963-02-18,1987-01-30,9999-01-01
18010,Aksel,Kropp,Senior Staff,1963-08-04,1985-12-25,9999-01-01
18021,Adil,Matzke,Engineer,1965-01-07,1987-05-08,9999-01-01
18023,Valeri,Chenoweth,Engineer,1962-05-27,1985-05-17,9999-01-01
18029,Younwoo,Awdeh,Engineer,1962-08-22,1987-02-08,9999-01-01
18039,Danco,Rubsam,Technique Leader,1964-03-03,1988-05-31,9999-01-01
18043,Yuqun,Harnett,Engineer,1962-01-04,1986-11-03,9999-01-01
18045,Zengping,Wendorf,Engineer,1962-03-17,1987-06-12,9999-01-01
18072,Cedric,Kalsbeek,Senior Staff,1963-08-29,1985-08-11,9999-01-01
18076,Mari,Baranowski,Engineer,1963-05-17,1986-08-22,9999-01-01
